,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
00:00 - 02:00,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга
02:00 - 04:00,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга
04:00 - 06:00,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга
06:00 - 08:00,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга
08:00 - 10:00,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга
10:00 - 12:00,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга
12:00 - 14:00,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга
14:00 - 16:00,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга
16:00 - 18:00,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга
18:00 - 20:00,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга
20:00 - 22:00,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга
22:00 - 24:00,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга
